,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10
75,5C Network,2014.0,Bangalore,HealthTech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,
76,Ethereum Push Notification Service,2020.0,Mumbai,Blockchain startup,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Seed,
77,Mihup,2016.0,Kolkata,Conversational AI platform,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series A,
78,RuralBasket,2019.0,"Tirunelveli, Tamilnadu",E-commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,,
79,WayCool Foods,2015.0,Chennai,AgriTech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Debt,
80,Infra.Market,2016.0,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,
81,Info Edge Venture,1995.0,Noida,Venture capitalist,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000.0,,
82,Clovia,2013.0,Noida,E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Pre-series C,
83,Codingal,2020.0,Bangalore,EdTech,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,
84,CRED,2018.0,Bangalore,Finance company,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Series C,
85,Vistaar Finance,2010.0,Bangalore,Finance company,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,30000000.0,,
86,Let's Dive,2020.0,Bangalore,SaaS platform,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,,
87,Habitat,2016.0,,EdTech,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000.0,Seed,
88,SAWO Labs,2020.0,Mumbai,SaaS platform,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Seed,
89,Signzy,2015.0,Bangalore,AI platform,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000.0,,
90,KopyKitab,2013.0,Bangalore,EdTech,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",,,
91,Kyt,2020.0,Singapore,EdTech,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000.0,,
92,Raskik,2019.0,,Fusion beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000.0,Pre-series A,
93,GetWork,2019.0,Gurugram,HR Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-seed,
94,Mobile Premier League (MPL),2018.0,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series B,
95,Pravasirojgar,2020.0,,Job portal,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,33000000.0,,
96,Omatra Hotels,2017.0,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,,Seed,
97,Awign,2016.0,Bangalore,Job portal,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",,Pre-series B,
98,NewsReach,2018.0,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Seed,
99,Cashfree,2015.0,Bangalore,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Series B,
100,Credgenics,2018.0,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A,
101,GeoIQ,2018.0,Bangalore,AI startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Seed,
102,Country Delight,2015.0,Haryana,Dairy startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000.0,Series C,
103,Quintype,2014.0,Bangalore,Content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000.0,Series A,
104,CARS24,2015.0,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000.0,Series E,
105,Astrogate Labs,2017.0,Bangalore,Spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,,"Venture Catalysts, Speciale Invest",,,
106,Power Gummies,2018.0,New Delhi,HealthTech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,,Bridge,
107,Cityflo,2015.0,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Series A,
108,AlgoBulls,2019.0,Mumbai,Trading platform,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000.0,,
109,Credgenics,2018.0,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A,
110,Inntot,2014.0,Kerala,Tech company,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,,,
111,Ensuredit,2019.0,Gurugram,FinTech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Pre-series A,
112,Shipsy,2015.0,Gurugram,AI Company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000.0,Series A,
113,ERPNext,2008.0,Mumbai,Tech company,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000.0,,
114,LightSpeedAI,2019.0,Bangalore,Photonics startup,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",,,
115,Grip Invest,2020.0,Gurugram,FinTech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,,Pre-series A,
116,Unacademy,2015.0,Bangalore,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",,,
117,Yellow Classes,2020.0,Gurugram,EdTech,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Pre-series A,
118,Plum,2019.0,Bangalore,HealthTech,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,,
119,STAGE,2019.0,Indore,Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,,
120,Nykaa,2012.0,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",,,
121,Kaagaz Scanner,2020.0,,Scanning app,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000.0,,
122,NIRA,2017.0,Bangalore,FinTech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,,
123,Prolixr,2018.0,Gurugram,Skincare startup,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",,Seed,
124,Byju's,2011.0,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000.0,,
125,DaMENSCH,2018.0,Bangalore,E-commerce,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,,
126,Country Delight,2015.0,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Series C,
127,SignalX,2018.0,Hyderabad,AI startup,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,
128,Lancify,2018.0,Bangalore,EdTech,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,,
129,Krimanshi,2015.0,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,
130,Instoried,2018.0,Bangalore,AI startup,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Pre-series A,
131,PlayerzPot,2015.0,Mumbai,Gaming startup,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",,3000000.0,Series A,
132,Instamojo,2012.0,Bangalore,FinTech,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",,,
133,Turtlemint,2015.0,Mumbai,HealthTech,Turtlemint has built Indian personalized insurance platform,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",30000000.0,,
134,Arata,2017.0,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000.0,Pre-series A,
135,MPL,2018.0,Bangalore,Gaming startup,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,,
136,True Balance,2014.0,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",28000000.0,,
137,Thrive,2020.0,Mumbai,FoodTech,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",,Pre-series A,
138,Kitchens Centre,2019.0,New Delhi,Proptech,Kitchens Centre offers turnkey solutions to cloud kitchens.,Lakshay Jain,"Jonathan Swanson, Ankush Gera",,Pre-series A,
139,Prescribe,2019.0,Chennai,HealthTech,Provide online services to patients by leveraging WhatsApp.,Nived Narayanan,Titan Capital,100000.0,,
140,Nepra,2006.0,Ahmedabad,CleanTech,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,
141,inFeedo,2013.0,Gurugram,SaaS startup,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Tanmaya Jain,"Peyush Bansal, Ritesh Malik",3200000.0,,
